-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/1981 through 01/01/2022 ,,,,,,,
Location: Latitude  32.756   Longitude -97.3225 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.24 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,Day,T2M,RH2M,PRECTOTCORR,WS2M,PS
1981,1,1,8.26,66,0,2.32,99.59
1981,1,2,5.33,64.69,0,2.02,99.64
1981,1,3,6.73,72.94,0.05,3.3,99.13
1981,1,4,1.45,63.31,0,2.3,99.75
1981,1,5,2.67,65.88,0.07,3.27,99.37
1981,1,6,7.18,77.06,0.17,3.48,98.85
1981,1,7,4.19,69.62,0,1.41,99.19
1981,1,8,6.51,75.69,3,1.77,98.9
1981,1,9,7.97,83.5,0.25,0.88,99.35
1981,1,10,6.83,74.88,0,2.13,100.08
1981,1,11,4.37,67.56,0.05,3.22,100.29
1981,1,12,-0.09,62.75,0,1.77,100.15
1981,1,13,5.56,74.69,0.04,3.65,98.8
1981,1,14,5.48,65.44,0,3.4,98.84
1981,1,15,3.73,68.75,0,1.69,99.22
1981,1,16,1.44,66.88,0,3.53,100.07
1981,1,17,0.02,56.94,0.05,2.32,100.72
1981,1,18,2.1,62.69,1.36,1.16,100.21
1981,1,19,1.61,91.06,1.85,2.26,99.01
1981,1,20,4.44,83.25,0.41,1.89,98.38
1981,1,21,3.16,80.81,1.15,3.7,99.33
1981,1,22,6.27,63.69,0,1.8,99.26
1981,1,23,8.44,53.38,0.01,1.39,98.69
1981,1,24,10.35,56,0.06,2.52,98.11
1981,1,25,11.33,60.31,0,2.61,97.84
1981,1,26,10.97,58.25,0,1.54,98.14
1981,1,27,7.09,61.75,0,1.4,98.43
1981,1,28,10.19,69.81,0,3.09,98.41
1981,1,29,13.29,72,0.04,4.37,98.45
1981,1,30,2.99,73.31,0.01,3.45,99.53
1981,1,31,6.39,92.5,2.53,3.93,98.31
1981,2,1,3.15,53.75,0.68,4.67,98.73
1981,2,2,-0.77,49.81,0,2.93,100.04
1981,2,3,4.23,57.69,0.1,2.9,99.75
1981,2,4,2.65,72.12,1.43,2.83,99.89
1981,2,5,3.7,85.5,0.7,1.56,99.47
