-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  32.7578   Longitude -97.3146 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.24 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,
TS                  MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.17,99,98.53,98.64,98.18,98.29,98.49,98.45,98.65,98.69,98.76,98.81,98.64
PS,1982,98.81,99.11,98.5,98.52,98.27,98.28,98.51,98.53,98.58,98.76,98.83,98.78,98.62
PS,1983,98.91,98.51,98.06,98.08,98.23,98.26,98.63,98.59,98.65,98.8,98.37,99.2,98.53
PS,1984,99.4,98.61,98.42,98.03,98.38,98.36,98.49,98.47,98.72,98.58,98.9,98.89,98.61
PS,1985,99.24,99.08,98.57,98.47,98.26,98.42,98.49,98.42,98.6,98.66,98.61,99.26,98.67
PS,1986,99.22,98.56,98.7,98.41,98.27,98.4,98.58,98.55,98.56,98.87,98.91,99.18,98.69
PS,1987,98.84,98.61,98.53,98.61,98.38,98.49,98.54,98.45,98.56,99,98.9,98.79,98.64
PS,1988,99.33,99.13,98.7,98.34,98.42,98.51,98.57,98.36,98.49,98.9,98.49,99.21,98.7
PS,1989,99.06,99.39,98.64,98.53,98.3,98.4,98.6,98.46,98.69,98.81,98.75,99.24,98.73
PS,1990,98.84,98.85,98.83,98.59,98.21,98.37,98.63,98.63,98.63,98.79,98.89,98.99,98.69
PS,1991,99.1,99.03,98.23,98.19,98.32,98.42,98.56,98.64,98.85,98.61,99.07,99.16,98.68
PS,1992,99.02,98.7,98.55,98.5,98.61,98.08,98.48,98.74,98.61,98.7,98.69,98.92,98.63
PS,1993,99.15,98.91,98.75,98.28,98.29,98.3,98.38,98.51,98.64,98.78,99.06,98.95,98.67
PS,1994,99.14,98.96,98.65,98.5,98.49,98.26,98.47,98.56,98.69,98.52,98.75,99.07,98.67
PS,1995,98.84,98.98,98.73,98.2,98.11,98.39,98.35,98.32,98.59,98.59,98.92,98.93,98.58
PS,1996,98.76,98.8,98.75,98.42,98.13,98.39,98.44,98.63,98.38,98.63,98.91,98.81,98.59
PS,1997,99.05,98.99,98.75,98.41,98.5,98.19,98.55,98.58,98.46,98.62,98.75,98.71,98.63
PS,1998,98.59,98.27,98.49,98.36,98.07,98.12,98.43,98.58,98.18,98.81,98.77,99.17,98.49
PS,1999,98.71,98.79,98.66,98.27,98.29,98.38,98.6,98.4,98.49,98.87,99.08,98.99,98.63
PS,2000,99.06,98.95,98.53,98.56,98.19,98.53,98.45,98.57,98.46,98.98,98.82,99.35,98.7
PS,2001,99.16,99,98.69,98.61,98.39,98.43,98.42,98.57,98.59,98.82,98.89,98.88,98.7
PS,2002,98.89,99.23,98.71,98.54,98.43,98.41,98.62,98.51,98.41,98.64,98.99,98.79,98.68
PS,2003,99.34,98.69,98.32,98.32,98.2,98.21,98.54,98.52,98.62,98.6,98.83,98.94,98.6
PS,2004,98.95,98.97,98.93,98.49,98.39,98.46,98.47,98.59,98.59,98.38,98.83,99.11,98.68
PS,2005,99.14,98.97,98.35,98.4,98.38,98.19,98.51,98.44,98.56,98.75,98.75,98.91,98.61
PS,2006,98.74,98.93,98.6,98.28,98.27,98.5,98.52,98.4,98.5,98.52,98.77,99.1,98.59
PS,2007,99.28,98.77,98.74,98.55,98.51,98.32,98.51,98.49,98.63,98.58,99.01,98.81,98.68
PS,2008,99.12,98.59,98.53,98.41,98.06,98.29,98.44,98.27,98.63,98.96,98.89,98.93,98.59
PS,2009,98.98,98.89,98.59,98.34,98.4,98.15,98.39,98.51,98.53,98.41,98.87,98.83,98.57
PS,2010,99,98.82,98.46,98.29,98.22,98.29,98.48,98.27,98.45,98.75,98.72,98.83,98.55
PS,2011,98.92,98.78,98.58,97.96,98.12,98.16,98.23,98.15,98.49,98.69,98.79,99.17,98.5
PS,2012,98.91,98.93,98.5,98.35,98.28,98.22,98.46,98.33,98.58,98.6,99.07,98.66,98.57
PS,2013,99.06,98.64,98.74,98.4,98.39,98.33,98.52,98.53,98.41,98.63,99.22,99.08,98.66
PS,2014,99.09,98.79,98.68,98.33,98.39,98.27,98.63,98.47,98.65,98.52,99.04,99.04,98.66
PS,2015,99.4,99.09,98.96,98.31,98.51,98.45,98.4,98.42,98.48,98.65,98.84,98.55,98.67
PS,2016,98.92,98.92,98.41,98.45,98.46,98.48,98.43,98.49,98.66,98.75,98.92,99.08,98.66
PS,2017,98.75,98.5,98.79,98.26,98.23,98.24,98.55,98.45,98.54,98.72,98.8,99.17,98.58
PS,2018,99.46,98.97,98.62,98.63,98.33,98.23,98.53,98.52,98.51,98.72,98.85,98.82,98.68
PS,2019,99.05,98.72,99.02,98.29,98.18,98.34,98.47,98.3,98.49,98.57,98.91,98.88,98.6
PS,2020,98.93,98.9,98.69,98.42,98.37,98.42,98.33,98.34,98.63,98.71,99.05,98.9,98.64
TS,1981,5.56,9.01,12.85,20.79,21.64,26.73,31.78,31.19,25.14,18.03,11.33,5.75,18.37
TS,1982,4.1,5.37,13.62,16.79,21.8,24.69,28.86,32.38,27.47,19.51,11.96,6.59,17.83
TS,1983,4.14,7.58,11.6,16.05,21.86,25.88,30.65,31.7,27.78,19.45,12.82,1,17.59
TS,1984,1.98,8.71,12.44,17.37,25.32,30.3,33,31.9,26.01,18.44,9.83,9.56,18.77
TS,1985,1.15,5.37,14.73,18.33,22.51,27.3,31.59,34.76,26.79,18.79,12.85,3.75,18.23
